Date,LTIM,INFY,BSOFT,BBOX,ACCELYA
2020-05-26,1705.5299072265625,621.1193237304688,69.62940216064453,47.7400016784668,781.8568115234375
2020-05-27,1712.162353515625,643.8448486328125,73.35188293457031,47.900001525878906,784.5770874023438
2020-05-28,1711.3988037109375,645.6245727539062,71.39519500732422,49.709999084472656,786.064697265625
2020-05-29,1716.599609375,639.2413330078125,71.10885620117188,49.34000015258789,784.4070434570312
2020-06-01,1758.6832275390625,647.1508178710938,73.54278564453125,50.75,795.2879638671875
2020-06-02,1773.5701904296875,655.060546875,73.30416107177734,51.95000076293945,798.0508422851562
2020-06-03,1763.83642578125,649.0010986328125,71.6338119506836,50.47999954223633,801.7486572265625
2020-06-04,1776.146484375,654.7367553710938,76.83573913574219,53.0,803.5762329101562
2020-06-05,1772.329345703125,650.8513793945312,77.93339538574219,58.29999923706055,801.6636352539062
2020-06-08,1784.496337890625,666.8554077148438,79.79462432861328,64.12999725341797,808.251708984375
2020-06-09,1799.1922607421875,663.848876953125,78.50606536865234,67.87999725341797,803.5338134765625
2020-06-10,1801.1962890625,662.2300415039062,77.21752166748047,64.86000061035156,797.0306396484375
2020-06-11,1784.878173828125,651.2213745117188,77.64704132080078,61.619998931884766,798.2633056640625
2020-06-12,1765.4110107421875,640.2127685546875,76.78800201416016,61.58000183105469,809.4418334960938
2020-06-15,1775.3353271484375,636.0498046875,77.31298065185547,61.15999984741211,803.2362670898438
2020-06-16,1790.269775390625,648.6774291992188,76.45394134521484,61.0,807.5715942382812
2020-06-17,1796.32958984375,650.9439086914062,77.26525115966797,61.310001373291016,805.4039916992188
2020-06-18,1791.939697265625,660.4260864257812,77.59931945800781,59.97999954223633,805.5314331054688
2020-06-19,1784.3533935546875,652.701416015625,77.98110961914062,61.08000183105469,803.7887573242188
2020-06-22,1791.653564453125,650.9900512695312,79.41283416748047,61.06999969482422,789.5499267578125
2020-06-23,1799.0968017578125,666.6705322265625,85.56922912597656,62.08000183105469,788.3173828125
2020-06-24,1838.3175048828125,660.6572875976562,83.3261947631836,60.22999954223633,786.064697265625
2020-06-25,1806.254150390625,648.0298461914062,83.99434661865234,59.439998626708984,786.7872924804688
2020-06-26,1840.512451171875,692.1568603515625,87.90771484375,59.08000183105469,781.6868896484375
2020-06-29,1847.9078369140625,676.9390258789062,87.90771484375,56.43000030517578,782.7918701171875
2020-06-30,1868.3773193359375,680.8244018554688,85.37833404541016,58.529998779296875,782.0693359375
2020-07-01,1848.814697265625,677.0778198242188,83.75572204589844,61.45000076293945,782.4518432617188
2020-07-02,1873.005615234375,699.9275512695312,86.66688537597656,62.380001068115234,789.592529296875
2020-07-03,1887.796875,705.57080078125,85.807861328125,62.43000030517578,795.0755615234375
2020-07-06,1908.9814453125,706.7734375,86.42827606201172,61.380001068115234,803.9163208007812
2020-07-07,1917.2362060546875,734.6651000976562,87.0964126586914,60.060001373291016,793.54541015625
2020-07-08,1959.844482421875,716.6719360351562,94.77997589111328,58.13999938964844,791.7603149414062
2020-07-09,2001.9117431640625,723.1476440429688,97.21390533447266,60.029998779296875,801.9611206054688
2020-07-10,2028.498046875,723.286376953125,93.15736389160156,58.150001525878906,806.0414428710938
2020-07-13,2111.57470703125,737.3478393554688,98.74107360839844,57.220001220703125,804.4263916015625
2020-07-14,2154.410888671875,724.5814208984375,96.21170043945312,58.66999816894531,802.8536987304688
2020-07-15,2106.526611328125,768.7086181640625,100.07735443115234,60.65999984741211,805.573974609375
2020-07-16,2203.064453125,842.7623901367188,105.75652313232422,62.619998931884766,805.0213623046875
2020-07-17,2176.91064453125,835.5005493164062,103.6566390991211,64.0199966430664,807.1466064453125
2020-07-20,2163.160400390625,864.3172607421875,102.32038879394531,62.88999938964844,808.3792724609375
2020-07-21,2191.958251953125,866.5836791992188,102.41584014892578,66.01000213623047,842.1697387695312
2020-07-22,2240.99658203125,849.1456909179688,97.97750091552734,64.97000122070312,826.5708618164062
2020-07-23,2174.93896484375,839.9409790039062,101.03182983398438,68.06999969482422,825.2532348632812
2020-07-24,2186.91064453125,853.7249145507812,99.695556640625,68.38999938964844,833.6690063476562
2020-07-27,2333.640625,877.4074096679688,103.46575927734375,67.86000061035156,835.49658203125
2020-07-28,2322.775146484375,890.7286987304688,112.34244537353516,67.06999969482422,841.4471435546875
2020-07-29,2308.11181640625,882.6804809570312,111.43567657470703,67.9800033569336,839.6620483398438
2020-07-30,2294.6982421875,889.43359375,109.95623779296875,65.48999786376953,841.0220947265625
2020-07-31,2323.83349609375,893.6427612304688,114.82408905029297,64.66999816894531,836.7291870117188
2020-08-03,2394.89013671875,885.2244873046875,120.12144470214844,64.9800033569336,841.6596069335938
2020-08-04,2354.361083984375,878.702392578125,116.92394256591797,65.0999984741211,834.1365356445312
2020-08-05,2403.64013671875,873.9381713867188,119.40558624267578,63.7599983215332,832.9464111328125
2020-08-06,2373.9765625,898.1295166015625,136.92030334472656,62.58000183105469,829.291015625
2020-08-07,2372.678955078125,879.673828125,136.34762573242188,64.88999938964844,829.8435668945312
2020-08-10,2422.39013671875,880.090087890625,141.35865783691406,65.33000183105469,857.72607421875
2020-08-11,2419.649658203125,877.4074096679688,139.87921142578125,62.279998779296875,876.852783203125
2020-08-12,2400.611328125,883.42041015625,140.49960327148438,64.0,862.0614013671875
2020-08-13,2376.765625,879.9513549804688,140.6918487548828,64.80000305175781,866.3968505859375
2020-08-14,2346.140625,882.1715087890625,146.02545166015625,64.6500015258789,860.0638427734375
2020-08-17,2347.005859375,885.7794189453125,144.29562377929688,67.72000122070312,864.5266723632812
