"Date","Price","Open","High","Low","Change %"
"12-07-2024","6.979","6.996","6.996","6.971","-0.07%"
"11-07-2024","6.984","6.984","6.984","6.984","0.03%"
"10-07-2024","6.982","7.020","7.020","6.977","-0.09%"
"09-07-2024","6.988","7.001","7.001","6.986","0.00%"
"08-07-2024","6.988","7.001","7.005","6.988","-0.09%"
"05-07-2024","6.994","7.071","7.071","6.994","-0.04%"
"04-07-2024","6.997","7.071","7.071","6.997","-0.07%"
"03-07-2024","7.002","7.021","7.021","7.002","-0.38%"
"02-07-2024","7.029","7.029","7.029","7.029","0.13%"
"01-07-2024","7.020","7.096","7.096","7.020","-0.03%"
"28-06-2024","7.022","7.022","7.047","7.018","0.06%"
"27-06-2024","7.018","7.071","7.071","7.017","0.00%"
"26-06-2024","7.018","7.071","7.071","7.017","0.11%"
"25-06-2024","7.010","7.022","7.047","7.007","0.19%"
"24-06-2024","6.997","7.002","7.009","6.991","-0.03%"
"21-06-2024","6.999","7.022","7.022","6.994","-0.01%"
"20-06-2024","7.000","7.096","7.096","7.000","0.00%"
"19-06-2024","7.000","7.022","7.022","6.991","-0.14%"
"18-06-2024","7.010","7.092","7.092","7.004","0.09%"
"14-06-2024","7.004","7.022","7.047","7.004","-0.09%"
"13-06-2024","7.010","7.035","7.035","7.010","-0.27%"
"12-06-2024","7.029","7.060","7.060","7.022","0.07%"
