Date,Open,High,Low,Close,Adj Close,Volume
2024-06-10,1116.0,1134.0,1092.449951171875,1097.75,1097.75,1679308
2024-06-11,1109.9000244140625,1182.0,1095.0,1172.3499755859375,1172.3499755859375,2755097
2024-06-12,1175.0,1189.0,1161.5999755859375,1168.9000244140625,1168.9000244140625,1007365
2024-06-13,1178.0,1182.949951171875,1163.0,1176.449951171875,1176.449951171875,630039
2024-06-14,1183.5,1229.0,1171.0,1210.5999755859375,1210.5999755859375,1725937
2024-06-18,1247.9000244140625,1259.449951171875,1197.0,1206.1500244140625,1206.1500244140625,1796564
2024-06-19,1218.4000244140625,1223.800048828125,1168.0,1172.449951171875,1172.449951171875,881103
2024-06-20,1177.199951171875,1192.1500244140625,1168.550048828125,1174.300048828125,1174.300048828125,666967
2024-06-21,1174.5999755859375,1215.0,1170.699951171875,1200.6500244140625,1200.6500244140625,1415292
2024-06-24,1210.0,1218.9000244140625,1190.0,1196.1500244140625,1196.1500244140625,961435
2024-06-25,1204.5999755859375,1216.6500244140625,1174.9000244140625,1192.949951171875,1192.949951171875,626939
2024-06-26,1195.0,1204.9000244140625,1173.449951171875,1178.0999755859375,1178.0999755859375,447043
2024-06-27,1181.5999755859375,1188.949951171875,1145.0,1151.199951171875,1151.199951171875,620645
2024-06-28,1153.0,1174.9000244140625,1153.0,1166.8499755859375,1166.8499755859375,789976
2024-07-01,1173.9000244140625,1228.9000244140625,1162.6500244140625,1198.949951171875,1198.949951171875,1579575
2024-07-02,1207.4000244140625,1212.449951171875,1186.25,1191.949951171875,1191.949951171875,462050
2024-07-03,1199.800048828125,1239.0,1183.699951171875,1217.050048828125,1217.050048828125,1093374
2024-07-04,1228.0,1237.800048828125,1212.1500244140625,1215.9000244140625,1215.9000244140625,723295
2024-07-05,1219.5,1240.0,1208.0,1223.9000244140625,1223.9000244140625,760362
2024-07-08,1234.0,1236.0,1189.199951171875,1195.3499755859375,1195.3499755859375,709763
2024-07-09,1201.1500244140625,1213.4000244140625,1182.5,1199.8499755859375,1199.8499755859375,513819
2024-07-10,1203.300048828125,1216.0,1166.0999755859375,1184.050048828125,1184.050048828125,585277
2024-07-11,1195.9000244140625,1210.0,1181.300048828125,1186.199951171875,1186.199951171875,446989
