ROI,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio
581.8274076921034,0.006425074459892232,0.008334010424241221,1655.4685250662803,0.35145784947422876
525.0188031637178,0.006121645513349587,0.005462321683764657,1161.8176283864,0.4518943337887284
534.3074076527447,0.007088089434382964,0.009254509072063186,1124.6675103957023,0.47508032615319956
574.9586783108898,0.008768849932765364,0.011844713333698713,1793.3358374592544,0.320608480743597
-508.1557779256615,-0.009329951877970744,-0.010779039994506657,1079.9515094069482,-0.4705357356319327
648.0111386411202,0.015796657508586616,0.016619097335082576,777.6162613180873,0.8333302309581784
-766.6014003364917,-0.027728517192269302,-0.022909279837274716,924.154473880236,-0.8295165169927586
-422.03334517372934,-0.01973551677953137,-0.019389374510769556,479.441961538148,-0.880259507990648
-289.1440001907267,-0.015506039447882152,-0.012805568655573654,322.06237315265884,-0.8977888269288182
-313.52207713137005,-0.036951969653084345,-0.02954489792069791,337.8187498169488,-0.9280777852063067
-190.23256591986555,-0.03826601763112328,-0.028455243917524624,197.19577150312477,-0.9646888696939157
