Date,RVNL,HBLPOWER,BOSCHLTD,HAL,NCC,AUROPHARMA,NATCOPHARM,SHRIRAMFIN,ADANIGREEN
2020-05-26,14.160654067993164,11.3319730758667,8892.84375,242.55711364746094,20.151853561401367,693.5025024414062,571.5602416992188,488.4220275878906,239.89999389648438
2020-05-27,14.160654067993164,11.430085182189941,8930.1982421875,241.7122039794922,20.104768753051758,691.9989624023438,562.6082763671875,503.8553771972656,242.60000610351562
2020-05-28,14.160654067993164,11.38102912902832,9347.578125,253.7235870361328,22.129371643066406,692.532470703125,556.65673828125,515.2035522460938,246.0
2020-05-29,14.24444580078125,11.675365447998047,9204.6474609375,253.9976348876953,21.611448287963867,723.2814331054688,561.0599975585938,519.561279296875,248.60000610351562
2020-06-01,14.621505737304688,12.362153053283691,9761.5009765625,256.1669921875,24.106889724731445,703.881591796875,566.285888671875,526.5062255859375,260.75
2020-06-02,14.663400650024414,12.705546379089355,9941.453125,258.130859375,25.566486358642578,711.2050170898438,575.7698974609375,531.9987182617188,273.75
2020-06-03,14.70529556274414,12.656489372253418,10456.59765625,266.8539123535156,24.718978881835938,727.8890380859375,566.4310302734375,560.0057983398438,273.8500061035156
2020-06-04,14.621505737304688,12.460264205932617,10375.4501953125,273.3619689941406,25.425235748291016,736.6675415039062,571.608642578125,556.510498046875,274.0
2020-06-05,15.96216106414795,12.999883651733398,10877.5283203125,288.227783203125,28.57984733581543,721.6810302734375,573.8344116210938,558.2354736328125,284.25
2020-06-08,16.63248634338379,13.686668395996094,10750.2216796875,301.4494934082031,29.42735481262207,728.3255004882812,609.3995971679688,573.5327758789062,297.75
2020-06-09,15.96216106414795,15.011185646057129,10594.8408203125,299.46282958984375,28.34442710876465,751.7025146484375,614.62548828125,562.5025024414062,312.6000061035156
2020-06-10,15.626996994018555,14.86401653289795,10231.953125,299.3714294433594,29.050683975219727,773.0426025390625,609.3995971679688,576.4832153320312,328.20001220703125
2020-06-11,15.585100173950195,14.27534294128418,10210.08203125,302.5912780761719,27.73233985900879,762.2755126953125,595.754150390625,579.1160278320312,332.04998779296875
2020-06-12,15.33372688293457,14.3243989944458,10333.50390625,299.3714294433594,28.76818084716797,748.5501098632812,583.1734008789062,621.3308715820312,336.3999938964844
2020-06-15,15.37562370300293,14.716848373413086,10083.5302734375,300.71875,27.44983673095703,745.64013671875,586.415283203125,610.7998046875,346.1499938964844
2020-06-16,15.249938011169434,14.226286888122559,10004.7041015625,325.6093444824219,26.60232925415039,745.34912109375,619.1258544921875,595.0486450195312,363.45001220703125
2020-06-17,15.124249458312988,14.373455047607422,10010.6220703125,323.485595703125,26.22566032409668,765.2825927734375,594.205810546875,588.3306274414062,381.6000061035156
2020-06-18,15.585100173950195,15.060240745544434,10043.904296875,325.6549987792969,27.638172149658203,763.6820068359375,600.0608520507812,605.1712646484375,400.6499938964844
2020-06-19,15.83647346496582,16.09041976928711,10367.3544921875,323.37139892578125,29.521520614624023,759.947509765625,608.3834838867188,598.135498046875,420.6499938964844
2020-06-22,15.96216106414795,16.7281494140625,10736.2548828125,325.5635986328125,29.191936492919922,763.0516967773438,631.1259765625,610.300537109375,441.6499938964844
2020-06-23,16.967649459838867,16.433813095092773,10734.455078125,325.2210693359375,30.180692672729492,780.172119140625,624.8355102539062,620.9224243164062,463.6000061035156
2020-06-24,16.63248634338379,16.63003921508789,10795.529296875,319.078369140625,30.22777557373047,768.192626953125,608.0931396484375,619.3790283203125,440.45001220703125
2020-06-25,16.506799697875977,16.53192710876465,10838.8466796875,361.780517578125,30.22777557373047,766.1555786132812,616.1256713867188,626.8233032226562,418.45001220703125
2020-06-26,16.297325134277344,16.18853187561035,10617.7060546875,347.8965759277344,29.2390193939209,756.6980590820312,614.6231079101562,639.94189453125,397.54998779296875
2020-06-29,15.96216106414795,15.550803184509277,10372.515625,347.7824401855469,28.156091690063477,765.7190551757812,605.99658203125,626.9595947265625,377.70001220703125
2020-06-30,15.79457950592041,15.64891529083252,10811.4345703125,352.6463928222656,27.44983673095703,748.5501098632812,611.7637329101562,626.0517578125,358.8500061035156
2020-07-01,15.83647346496582,15.501747131347656,10689.6220703125,348.7872009277344,28.156091690063477,752.4786376953125,617.6279296875,636.718994140625,340.95001220703125
2020-07-02,17.009546279907227,15.845139503479004,11281.650390625,354.0849914550781,28.909433364868164,756.45556640625,620.390380859375,633.6322631835938,357.95001220703125
2020-07-03,16.674381256103516,15.64891529083252,11151.3154296875,389.2970886230469,28.674013137817383,754.5155639648438,642.7324829101562,631.8618774414062,375.79998779296875
2020-07-06,17.009546279907227,16.7281494140625,11397.736328125,435.6528625488281,30.22777557373047,744.864013671875,669.3392944335938,633.314453125,394.54998779296875
2020-07-07,16.92575454711914,16.973432540893555,12764.8720703125,447.59576416015625,31.216537475585938,752.9150390625,660.3734130859375,657.1453857421875,413.75
2020-07-08,16.7581729888916,16.48287010192871,12809.328125,431.7251892089844,30.74570083618164,777.8440551757812,663.5235595703125,688.0578002929688,393.1000061035156
2020-07-09,16.7581729888916,16.3847599029541,12698.54296875,424.6690673828125,31.781539916992188,788.5140991210938,656.4478149414062,672.1600341796875,373.6000061035156
2020-07-10,16.46490478515625,16.139476776123047,12623.7880859375,430.4007263183594,31.59320640563965,796.1287231445312,658.9194946289062,651.1959838867188,371.04998779296875
2020-07-13,16.54869270324707,16.139476776123047,13122.552734375,424.50927734375,30.98111915588379,785.2161254882812,658.1925659179688,642.1113891601562,364.75
