Date,INFY,BSOFT,BBOX,ACCELYA,HBLPOWER,BOSCHLTD,NCC,AUROPHARMA,NATCOPHARM,SHRIRAMFIN,HINDUNILVR,SBIN,DRREDDY,BHARTIARTL,ONGC,IN5Y,IN10Y,SMA_20,SMA_50,EMA_20,EMA_50,RSI,BB_High,BB_Low,BB_Mid,MACD,MACD_Signal,MACD_Diff,ATR,Stoch,Stoch_Signal,SMA_20_x_RSI,SMA_20_x_MACD,RSI_x_MACD,Inflation,GDP,Unemployment,Repo Rate,Corporate Tax rate,IIP,Exchange Rate
2010-01-01,,,,,,,,,,,,,,,,7.241,7.695,,,,,,,,,,,,-2.793845176276417,,,,,,8.6,8.497585,8.3,5.625,33.99,99.273,45.6507
2010-01-04,241.6050262451172,32.092430114746094,18.03332901000977,45.13232803344727,34.01741409301758,4206.0263671875,87.33848571777344,83.61244201660156,22.081314086914062,390.4061584472656,206.79025268554688,192.48878479003903,1036.17333984375,273.8511657714844,106.6180648803711,7.253,7.676,,,,,,,,,,,,-2.793845176276417,,,,,,8.6,8.497585,8.3,5.625,33.99,99.273,45.6507
2010-01-05,242.41416931152344,33.2314338684082,18.132986068725582,45.08430480957031,33.97328567504883,4158.4365234375,88.7281494140625,82.64730072021484,22.55543327331543,393.0677490234375,206.1261749267578,192.5602264404297,1068.19775390625,278.1880187988281,108.4856414794922,7.211,7.701,,,,,,,,,,,,-2.793845176276417,,,,,,8.6,8.497585,8.3,5.625,33.99,99.273,45.6507
2010-01-06,238.8769073486328,32.10493087768555,18.12824058532715,45.08430480957031,34.01741409301758,4091.14013671875,89.56717681884766,81.85354614257812,21.879379272460938,387.3348388671875,207.29803466796875,193.71539306640625,1095.5958251953125,275.2406311035156,109.85491180419922,7.241,7.734,,,,,,,,,,,,-2.793845176276417,,,,,,8.6,8.497585,8.3,5.625,33.99,99.273,45.6507
2010-01-07,233.50875854492188,32.44288635253906,18.726186752319336,47.3409309387207,33.26735305786133,4157.46533203125,90.43243408203124,80.16675567626953,21.61598396301269,399.25103759765625,206.86834716796875,192.631591796875,1078.631103515625,277.3879699707031,109.97162628173828,7.266,7.778,,,,,,,,,,,,-2.793845176276417,,,,,,8.6,8.497585,8.3,5.625,33.99,99.273,45.6507
2010-01-08,227.8815155029297,32.19256591796875,18.318063735961918,47.100868225097656,34.01741409301758,4478.3037109375,91.95319366455078,80.85228729248047,21.703781127929688,407.64544677734375,207.7667388916016,192.05615234375,1083.3028564453125,273.724853515625,109.15455627441406,7.266,7.773,,,,,,,,,,,,-2.793845176276417,,,,,,8.6,8.497585,8.3,5.625,33.99,99.273,45.6507
2010-01-11,230.2349548339844,32.50546646118164,20.84747695922852,48.9013557434082,34.23801040649414,4461.689453125,93.5788345336914,80.3471450805664,22.64323234558105,410.7576904296875,207.88394165039065,190.47251892089844,1088.791748046875,277.0090026855469,109.22637176513672,7.278,7.751,,,,,,,,,,,,-2.793845176276417,,,,,,8.6,8.497585,8.3,5.625,33.99,99.273,45.6507
2010-01-12,239.2330017089844,31.86713409423828,21.59728240966797,47.316932678222656,38.20892333984375,4384.0087890625,92.76602172851562,79.70220184326172,22.054975509643555,412.3546447753906,204.79808044433597,185.0957489013672,1097.274169921875,271.3669128417969,106.93233489990234,7.278,7.798,,,,,,,,,,,,-2.793845176276417,,,,,,8.6,8.497585,8.3,5.625,33.99,99.273,45.6507
2010-01-13,248.16162109375,31.96725273132324,21.43118667602539,49.98164749145508,37.54710006713867,4346.3623046875,92.94953918457033,78.81822204589844,22.195459365844727,415.9581298828125,205.07150268554688,182.8022003173828,1114.284423828125,268.1248779296875,107.32286834716795,7.278,7.767,,,,,,,,,,,,-2.793845176276417,,,,,,8.6,8.497585,8.3,5.625,33.99,99.273,45.6507
2010-01-14,248.73959350585935,33.006126403808594,22.323362350463867,49.14142990112305,36.002864837646484,4323.6943359375,93.23798370361328,81.92117309570312,22.889060974121094,417.5552368164063,200.0326385498047,181.24380493164065,1122.3131103515625,267.83013916015625,110.59564971923828,7.24,7.7,,,,,,,,,,,,-2.793845176276417,,,,,,8.6,8.497585,8.3,5.625,33.99,99.273,45.6507
