Date,INFY,BSOFT,BBOX,ACCELYA,HBLPOWER,BOSCHLTD,NCC,AUROPHARMA,NATCOPHARM,SHRIRAMFIN,HINDUNILVR,SBIN,DRREDDY,BHARTIARTL,ONGC,IN5Y,IN10Y,SMA_20,SMA_50,EMA_20,EMA_50,RSI,BB_High,BB_Low,BB_Mid,MACD,MACD_Signal,MACD_Diff,ATR,Stoch,Stoch_Signal,SMA_20_x_RSI,SMA_20_x_MACD,RSI_x_MACD,Inflation,GDP,Unemployment,Repo Rate,Corporate Tax rate,IIP,Exchange Rate
2010-01-01,-0.33758754501934496,-0.42656802706630864,-0.0837859158461073,-0.9594587818543068,0.11488830371403459,-1.0082132786552498,0.36869583776484954,-0.7860079919280945,-0.7718932805480085,-0.8721210817893632,-0.38483310815785887,-0.4282861615652165,-0.7506364212159757,-0.20982515096460264,-0.2311121303732565,-0.10673234811165917,0.15976578837306626,-0.7340745959032218,-0.687679150005348,-1.5385419477546558,-1.523922806506124,0.0313943282635264,-0.7727010979709129,-0.7257521605914442,-0.7340745959032218,-0.221319068355088,-0.2107332107741756,0.0426354498001854,-2.793845176276417,-1.6233028688877515,-1.586616199922085,-0.702522063468719,-0.0064183820521849,-0.2145418960676883,1.1428571428571426,0.5108873896840975,0.2838709677419356,-0.75,0.0,-0.8857692307692313,-1.259075757772272
2010-01-04,-0.33758754501934496,-0.42656802706630864,-0.0837859158461073,-0.9594587818543068,0.11488830371403459,-1.0082132786552498,0.36869583776484954,-0.7860079919280945,-0.7718932805480085,-0.8721210817893632,-0.38483310815785887,-0.4282861615652165,-0.7506364212159757,-0.20982515096460264,-0.2311121303732565,-0.09688013136289032,0.143872856545379,-0.7340745959032218,-0.687679150005348,-1.5385419477546558,-1.523922806506124,0.0313943282635264,-0.7727010979709129,-0.7257521605914442,-0.7340745959032218,-0.221319068355088,-0.2107332107741756,0.0426354498001854,-2.793845176276417,-1.6233028688877515,-1.586616199922085,-0.702522063468719,-0.0064183820521849,-0.2145418960676883,1.1428571428571426,0.5108873896840975,0.2838709677419356,-0.75,0.0,-0.8857692307692313,-1.259075757772272
2010-01-05,-0.3362251819560628,-0.41643318965014314,-0.08193553173797068,-0.9595233397877933,0.11347190112804686,-1.012833283450453,0.396623527226195,-0.7875673922312297,-0.7711776230799633,-0.8672803611466772,-0.3852533979399427,-0.4276728084941933,-0.7358064579678223,-0.19095148364509604,-0.1701588430411822,-0.13136288998357987,0.1647846089502301,-0.7340745959032218,-0.687679150005348,-1.5385419477546558,-1.523922806506124,0.0313943282635264,-0.7727010979709129,-0.7257521605914442,-0.7340745959032218,-0.221319068355088,-0.2107332107741756,0.0426354498001854,-2.793845176276417,-1.6233028688877515,-1.586616199922085,-0.702522063468719,-0.0064183820521849,-0.2145418960676883,1.1428571428571426,0.5108873896840975,0.2838709677419356,-0.75,0.0,-0.8857692307692313,-1.259075757772272
2010-01-06,-0.34218090875330087,-0.42645679547505,-0.0820236435805139,-0.9595233397877933,0.11488830371403459,-1.0193663922997644,0.4134852304375339,-0.7888498791931033,-0.7721980903134994,-0.8777069897891404,-0.3845117367884467,-0.4177552744827044,-0.7231188756284824,-0.20377829941962244,-0.12546909506702847,-0.10673234811165917,0.1923881221246344,-0.7340745959032218,-0.687679150005348,-1.5385419477546558,-1.523922806506124,0.0313943282635264,-0.7727010979709129,-0.7257521605914442,-0.7340745959032218,-0.221319068355088,-0.2107332107741756,0.0426354498001854,-2.793845176276417,-1.6233028688877515,-1.586616199922085,-0.702522063468719,-0.0064183820521849,-0.2145418960676883,1.1428571428571426,0.5108873896840975,0.2838709677419356,-0.75,0.0,-0.8857692307692313,-1.259075757772272
2010-01-07,-0.35121931982300175,-0.4234496729958387,-0.070921268102238,-0.9564897425448687,0.09081337787834573,-1.0129275663604265,0.4308740679058318,-0.7915752641438198,-0.7725956713978792,-0.8560346147464342,-0.38478368275162494,-0.42706011043499337,-0.7309749506384393,-0.19443323765570883,-0.12165981030269839,-0.08620689655172455,0.22919280635717273,-0.7340745959032218,-0.687679150005348,-1.5385419477546558,-1.523922806506124,0.0313943282635264,-0.7727010979709129,-0.7257521605914442,-0.7340745959032218,-0.221319068355088,-0.2107332107741756,0.0426354498001854,-2.793845176276417,-1.6233028688877515,-1.586616199922085,-0.702522063468719,-0.0064183820521849,-0.2145418960676883,1.1428571428571426,0.5108873896840975,0.2838709677419356,-0.75,0.0,-0.8857692307692313,-1.259075757772272
2010-01-08,-0.36069397070590564,-0.4256770202702943,-0.07849909904932685,-0.9568124604185867,0.11488830371403459,-0.9817806927371633,0.46143635537105515,-0.7904676354327385,-0.7724631462891128,-0.8407674319711962,-0.3842150974364955,-0.4320004716085125,-0.7288115410560967,-0.2103748526677582,-0.14832704470170016,-0.08620689655172455,0.22501045587620253,-0.7340745959032218,-0.687679150005348,-1.5385419477546558,-1.523922806506124,0.0313943282635264,-0.7727010979709129,-0.7257521605914442,-0.7340745959032218,-0.221319068355088,-0.2107332107741756,0.0426354498001854,-2.793845176276417,-1.6233028688877515,-1.586616199922085,-0.702522063468719,-0.0064183820521849,-0.2145418960676883,1.1428571428571426,0.5108873896840975,0.2838709677419356,-0.75,0.0,-0.8857692307692313,-1.259075757772272
2010-01-11,-0.35673145906931136,-0.4228928361772248,-0.03153417662882944,-0.9543920532891509,0.1219688473466848,-0.9833935988682638,0.4941064132348877,-0.7912838049628729,-0.7710450950921566,-0.835107094040996,-0.3841409206984567,-0.44559655201776394,-0.7262697284076153,-0.19608247557544448,-0.1459831567760472,-0.07635467980295643,0.20660811375993374,-0.7340745959032218,-0.687679150005348,-1.5385419477546558,-1.523922806506124,0.0313943282635264,-0.7727010979709129,-0.7257521605914442,-0.7340745959032218,-0.221319068355088,-0.2107332107741756,0.0426354498001854,-2.793845176276417,-1.6233028688877515,-1.586616199922085,-0.702522063468719,-0.0064183820521849,-0.2145418960676883,1.1428571428571426,0.5108873896840975,0.2838709677419356,-0.75,0.0,-0.8857692307692313,-1.259075757772272
2010-01-12,-0.34158134876974844,-0.42857270749955073,-0.017612151359712988,-0.9565220035631834,0.24942438748210136,-0.9909348096011382,0.47777153762881697,-0.7923258541255428,-0.7719330372169263,-0.8322026616553844,-0.3860939388754224,-0.4917581172340161,-0.7223416626382907,-0.2206364380976483,-0.22085509951874713,-0.07635467980295643,0.24592220828105435,-0.7340745959032218,-0.687679150005348,-1.5385419477546558,-1.523922806506124,0.0313943282635264,-0.7727010979709129,-0.7257521605914442,-0.7340745959032218,-0.221319068355088,-0.2107332107741756,0.0426354498001854,-2.793845176276417,-1.6233028688877515,-1.586616199922085,-0.702522063468719,-0.0064183820521849,-0.2145418960676883,1.1428571428571426,0.5108873896840975,0.2838709677419356,-0.75,0.0,-0.8857692307692313,-1.259075757772272
2010-01-13,-0.32654813429763396,-0.4276818534475586,-0.02069613667818347,-0.9529398100371139,0.22818165461118445,-0.9945895166694935,0.48145963751738574,-0.793754119985821,-0.7717209843751224,-0.8256488870435891,-0.3859208920105719,-0.5114490826559419,-0.7144645024261126,-0.2347455370188205,-0.20810901058447334,-0.07635467980295643,0.21999163529903873,-0.7340745959032218,-0.687679150005348,-1.5385419477546558,-1.523922806506124,0.0313943282635264,-0.7727010979709129,-0.7257521605914442,-0.7340745959032218,-0.221319068355088,-0.2107332107741756,0.0426354498001854,-2.793845176276417,-1.6233028688877515,-1.586616199922085,-0.702522063468719,-0.0064183820521849,-0.2145418960676883,1.1428571428571426,0.5108873896840975,0.2838709677419356,-0.75,0.0,-0.8857692307692313,-1.259075757772272
2010-01-14,-0.32557499580266913,-0.41843797191273335,-0.0041306498885852,-0.9540693200310656,0.17861589011958182,-0.9967901148658789,0.4872564277596367,-0.7887406128177051,-0.7706740299698835,-0.8227441771414582,-0.3891099509446083,-0.5248284851541568,-0.7107465538060019,-0.23602821859627315,-0.10129315979648285,-0.1075533661740561,0.16394813885403647,-0.7340745959032218,-0.687679150005348,-1.5385419477546558,-1.523922806506124,0.0313943282635264,-0.7727010979709129,-0.7257521605914442,-0.7340745959032218,-0.221319068355088,-0.2107332107741756,0.0426354498001854,-2.793845176276417,-1.6233028688877515,-1.586616199922085,-0.702522063468719,-0.0064183820521849,-0.2145418960676883,1.1428571428571426,0.5108873896840975,0.2838709677419356,-0.75,0.0,-0.8857692307692313,-1.259075757772272
