Date,INFY,BSOFT,BBOX,ACCELYA,HBLPOWER,BOSCHLTD,NCC,AUROPHARMA,NATCOPHARM,SHRIRAMFIN,HINDUNILVR,SBIN,DRREDDY,BHARTIARTL,ONGC,IN5Y,IN10Y
2010-01-01,,,,,,,,,,,,,,,,7.241,7.695
2010-01-02,,,,,,,,,,,,,,,,7.176,7.638
2010-01-04,241.6050262451172,32.092430114746094,18.03332901000977,45.13232803344727,34.01741409301758,4206.0263671875,87.33848571777344,83.61244201660156,22.081314086914062,390.4061584472656,206.79025268554688,192.48878479003903,1036.17333984375,273.8511657714844,106.6180648803711,,
2010-01-05,242.41416931152344,33.2314338684082,18.132986068725582,45.08430480957031,33.97328567504883,4158.4365234375,88.7281494140625,82.64730072021484,22.55543327331543,393.0677490234375,206.1261749267578,192.5602264404297,1068.19775390625,278.1880187988281,108.4856414794922,,
2010-01-06,238.8769073486328,32.10493087768555,18.12824058532715,45.08430480957031,34.01741409301758,4091.14013671875,89.56717681884766,81.85354614257812,21.879379272460938,387.3348388671875,207.29803466796875,193.71539306640625,1095.5958251953125,275.2406311035156,109.85491180419922,7.392,7.564
2010-01-07,233.50875854492188,32.44288635253906,18.726186752319336,47.3409309387207,33.26735305786133,4157.46533203125,90.43243408203124,80.16675567626953,21.61598396301269,399.25103759765625,206.86834716796875,192.631591796875,1078.631103515625,277.3879699707031,109.97162628173828,7.377,7.528
2010-01-08,227.8815155029297,32.19256591796875,18.318063735961918,47.100868225097656,34.01741409301758,4478.3037109375,91.95319366455078,80.85228729248047,21.703781127929688,407.64544677734375,207.7667388916016,192.05615234375,1083.3028564453125,273.724853515625,109.15455627441406,,
2010-01-09,,,,,,,,,,,,,,,,7.689,7.961
2010-01-10,,,,,,,,,,,,,,,,7.752,7.912
2010-01-11,230.2349548339844,32.50546646118164,20.84747695922852,48.9013557434082,34.23801040649414,4461.689453125,93.5788345336914,80.3471450805664,22.64323234558105,410.7576904296875,207.88394165039065,190.47251892089844,1088.791748046875,277.0090026855469,109.22637176513672,7.812,8.11
2010-01-12,239.2330017089844,31.86713409423828,21.59728240966797,47.316932678222656,38.20892333984375,4384.0087890625,92.76602172851562,79.70220184326172,22.054975509643555,412.3546447753906,204.79808044433597,185.0957489013672,1097.274169921875,271.3669128417969,106.93233489990234,7.943,8.114
2010-01-13,248.16162109375,31.96725273132324,21.43118667602539,49.98164749145508,37.54710006713867,4346.3623046875,92.94953918457033,78.81822204589844,22.195459365844727,415.9581298828125,205.07150268554688,182.8022003173828,1114.284423828125,268.1248779296875,107.32286834716795,7.278,7.767
2010-01-14,248.73959350585935,33.006126403808594,22.323362350463867,49.14142990112305,36.002864837646484,4323.6943359375,93.23798370361328,81.92117309570312,22.889060974121094,417.5552368164063,200.0326385498047,181.24380493164065,1122.3131103515625,267.83013916015625,110.59564971923828,7.24,7.7
2010-01-15,247.44960021972656,34.18268585205078,22.30912399291992,48.949363708496094,36.92940902709961,4377.072265625,93.23798370361328,81.271728515625,22.309595108032227,422.38714599609375,200.3060607910156,180.06759643554688,1115.82666015625,267.2828063964844,108.62479400634766,7.228,7.736
2010-01-18,248.4528350830078,35.108909606933594,21.986425399780277,48.15716171264648,38.4736442565918,4348.748046875,93.31663513183594,80.03596496582031,22.379831314086918,424.8031311035156,201.00912475585935,181.16395568847656,1109.521484375,270.06170654296875,108.87173461914062,7.202,7.613
2010-01-19,243.7597198486328,33.83222961425781,22.38030815124512,46.90882110595703,36.3558235168457,4345.78857421875,90.56353759765624,79.34138488769531,21.888158798217773,424.4345703125,199.5639190673828,182.56695556640625,1070.9649658203125,269.9354248046875,107.45755767822266,7.207,7.635
2010-01-20,245.77574157714844,33.73209381103516,21.93896484375,46.71676635742188,36.62055969238281,4346.53955078125,90.43243408203124,80.82523345947266,23.16123390197754,422.1824951171875,201.3997344970703,181.45379638671875,1089.92578125,279.15643310546875,104.25668334960938,7.202,7.628
2010-01-21,242.77023315429688,31.27885055541992,20.91866111755371,44.89226531982422,36.88528823852539,4270.0966796875,87.52201843261719,80.3606948852539,21.888158798217773,411.8224182128906,200.5794982910156,178.45034790039062,1019.3445434570312,271.49322509765625,102.35318756103516,7.114,7.566
2010-01-22,238.18338012695312,30.75314712524414,20.681381225585938,44.72421646118164,35.56165313720703,4252.02490234375,85.08358764648438,81.64605712890625,21.40526580810547,410.3891296386719,201.51698303222656,175.36289978027344,1022.7919921875,271.28271484375,100.06806182861328,7.152,7.567
