Date,INFY,BSOFT,BBOX,ACCELYA,HBLPOWER,BOSCHLTD,NCC,AUROPHARMA,NATCOPHARM,SHRIRAMFIN,HINDUNILVR,SBIN,DRREDDY,BHARTIARTL,ONGC,IN5Y,IN10Y,Inflation,GDP,Unemployment,Repo Rate,Corporate Tax rate,IIP,Exchange Rate
2018-12-05,598.9228515625,119.83777618408200,13.399999618530300,805.8963012695310,25.714319229126000,17242.966796875,77.34033966064450,766.387451171875,683.8627319335940,1008.5029296875,1716.000732421880,263.6896057128910,2584.23974609375,278.3827514648440,101.77422332763700,7.389,7.44,2.5,6.453851,7.65,6.375,34.61,130.1,68.3734
2018-12-06,587.5842895507810,121.2342300415040,13.1899995803833,782.8720092773440,24.333362579345700,17273.169921875,71.89838409423830,724.0429077148440,675.8771362304690,992.1618041992190,1672.731689453130,259.4540100097660,2554.7861328125,270.551025390625,99.2599639892578,7.365,7.423,2.5,6.453851,7.65,6.375,34.61,130.1,68.3734
2018-12-07,600.1533813476560,118.15633392334000,12.81999969482420,795.8257446289060,24.333362579345700,17412.173828125,73.97370910644530,723.0804443359380,679.5845947265630,982.1512451171880,1693.9019775390600,259.2186889648440,2604.456298828130,270.5065612792970,98.7287826538086,7.389,7.464,2.5,6.453851,7.65,6.375,34.61,130.1,68.3734
2018-12-08,600.1533813476560,118.15633392334000,12.81999969482420,795.8257446289060,24.333362579345700,17412.173828125,73.97370910644530,723.0804443359380,679.5845947265630,982.1512451171880,1693.9019775390600,259.2186889648440,2604.456298828130,270.5065612792970,98.7287826538086,7.389,7.464,2.5,6.453851,7.65,6.375,34.61,130.1,68.3734
2018-12-09,600.1533813476560,118.15633392334000,12.81999969482420,795.8257446289060,24.333362579345700,17412.173828125,73.97370910644530,723.0804443359380,679.5845947265630,982.1512451171880,1693.9019775390600,259.2186889648440,2604.456298828130,270.5065612792970,98.7287826538086,7.389,7.464,2.5,6.453851,7.65,6.375,34.61,130.1,68.3734
2018-12-10,588.1995849609380,119.49577331543000,12.199999809265100,773.9382934570310,24.00002861022950,17365.94921875,71.5755615234375,705.7096557617190,660.4288940429690,979.7719116210940,1667.4390869140600,258.0892028808590,2602.424560546880,262.4967956542970,97.09984588623050,7.614,7.587,2.5,6.453851,7.65,6.375,34.61,130.1,68.3734
2018-12-11,592.8579711914060,121.0062255859380,12.380000114440900,794.729248046875,25.04764938354490,17950.048828125,74.25042724609380,706.9126586914060,667.2734375,1027.6270751953100,1666.6036376953100,264.7249755859380,2627.28369140625,258.31396484375,97.80807495117190,7.461,7.528,2.5,6.453851,7.65,6.375,34.61,130.1,68.3734
2018-12-12,596.3739624023440,122.88714599609400,12.920000076293900,783.6433715820310,25.42860221862790,18012.52734375,77.47870635986330,712.1575317382810,674.87890625,1037.278564453130,1707.64404296875,268.4899597167970,2501.73095703125,271.9304504394530,100.35773468017600,7.365,7.411,2.5,6.453851,7.65,6.375,34.61,130.1,68.3734
2018-12-13,613.2937622070310,124.14109802246100,13.880000114440900,785.7957153320310,25.61907768249510,18434.37109375,76.37187957763670,722.3587646484380,679.2518920898440,1052.2724609375,1722.918212890630,272.01959228515600,2511.88720703125,269.7500915527340,101.4909210205080,7.34,7.408,2.5,6.453851,7.65,6.375,34.61,130.1,68.3734
2018-12-14,620.5892333984380,122.71614074707000,14.31999969482420,773.4916381835940,25.761934280395500,18500.421875,75.95680236816410,698.8768310546880,666.7984008789060,1058.1983642578100,1727.5611572265600,272.2078857421880,2506.90576171875,284.1230773925780,104.00518798828100,7.354,7.441,2.5,6.453851,7.65,6.375,34.61,130.1,68.3734
2018-12-15,620.5892333984380,122.71614074707000,14.31999969482420,773.4916381835940,25.761934280395500,18500.421875,75.95680236816410,698.8768310546880,666.7984008789060,1058.1983642578100,1727.5611572265600,272.2078857421880,2506.90576171875,284.1230773925780,104.00518798828100,7.354,7.441,2.5,6.453851,7.65,6.375,34.61,130.1,68.3734
2018-12-16,620.5892333984380,122.71614074707000,14.31999969482420,773.4916381835940,25.761934280395500,18500.421875,75.95680236816410,698.8768310546880,666.7984008789060,1058.1983642578100,1727.5611572265600,272.2078857421880,2506.90576171875,284.1230773925780,104.00518798828100,7.354,7.441,2.5,6.453851,7.65,6.375,34.61,130.1,68.3734
2018-12-17,610.3492431640630,123.74211120605500,14.210000038147000,778.72998046875,25.952411651611300,18472.751953125,77.34033966064450,717.594970703125,667.9390258789060,1074.04541015625,1718.4149169921900,272.4902648925780,2527.65380859375,280.5187072753910,104.99671173095700,7.376,7.461,2.5,6.453851,7.65,6.375,34.61,130.1,68.3734
2018-12-18,594.7037963867190,124.05558776855500,13.9399995803833,778.8111572265630,27.190507888793900,18660.326171875,77.5709457397461,708.019287109375,670.9337158203130,1077.547119140630,1709.1761474609400,275.54931640625,2552.94873046875,282.8326416015630,104.53638458252000,7.337,7.345,2.5,6.453851,7.65,6.375,34.61,130.1,68.3734
2018-12-19,584.3760375976560,130.2683563232420,14.079999923706100,778.2832641601560,28.619081497192400,18437.140625,81.5832290649414,706.7201538085940,673.167724609375,1144.79541015625,1712.9366455078100,283.0321960449220,2528.234375,287.1934814453130,104.99671173095700,7.159,7.219,2.5,6.453851,7.65,6.375,34.61,130.1,68.3734
